 533: max:0.714, min:0.500, mean:0.616
 534: max:0.714, min:0.500, mean:0.610
 535: max:0.714, min:0.464, mean:0.620
 536: max:0.679, min:0.500, mean:0.626
 537: max:0.679, min:0.536, mean:0.624
 538: max:0.714, min:0.536, mean:0.626
 539: max:0.714, min:0.536, mean:0.632
 540: max:0.714, min:0.536, mean:0.639
 541: max:0.714, min:0.500, mean:0.633
 542: max:0.714, min:0.536, mean:0.628
 543: max:0.714, min:0.536, mean:0.621
 544: max:0.714, min:0.536, mean:0.615
 545: max:0.714, min:0.536, mean:0.611
 546: max:0.714, min:0.536, mean:0.612
 547: max:0.714, min:0.536, mean:0.615
 548: max:0.714, min:0.500, mean:0.614
 549: max:0.714, min:0.500, mean:0.607
 550: max:0.714, min:0.393, mean:0.606
 551: max:0.714, min:0.464, mean:0.611
 552: max:0.714, min:0.500, mean:0.613
 553: max:0.714, min:0.500, mean:0.619
 554: max:0.714, min:0.536, mean:0.618
 555: max:0.714, min:0.500, mean:0.613
 556: max:0.714, min:0.500, mean:0.610
 557: max:0.714, min:0.500, mean:0.620
 558: max:0.714, min:0.464, mean:0.621
 559: max:0.714, min:0.500, mean:0.628
 560: max:0.714, min:0.500, mean:0.629
 561: max:0.679, min:0.500, mean:0.629
 562: max:0.679, min:0.536, mean:0.621
 563: max:0.679, min:0.500, mean:0.624
 564: max:0.714, min:0.536, mean:0.628
 565: max:0.714, min:0.500, mean:0.618
 566: max:0.714, min:0.500, mean:0.620
 567: max:0.714, min:0.500, mean:0.615
 568: max:0.714, min:0.536, mean:0.618
 569: max:0.714, min:0.536, mean:0.613
 570: max:0.714, min:0.500, mean:0.611
 571: max:0.714, min:0.500, mean:0.613
 572: max:0.714, min:0.464, mean:0.615
 573: max:0.679, min:0.464, mean:0.616
 574: max:0.679, min:0.500, mean:0.618
 575: max:0.714, min:0.500, mean:0.625
 576: max:0.714, min:0.500, mean:0.626
 577: max:0.714, min:0.500, mean:0.629
 578: max:0.714, min:0.536, mean:0.624
 579: max:0.679, min:0.500, mean:0.620
 580: max:0.679, min:0.464, mean:0.622
 581: max:0.679, min:0.500, mean:0.623
 582: max:0.679, min:0.500, mean:0.628
 583: max:0.679, min:0.536, mean:0.625
 584: max:0.714, min:0.536, mean:0.628
 585: max:0.714, min:0.500, mean:0.620
 586: max:0.714, min:0.500, mean:0.625
 587: max:0.714, min:0.536, mean:0.629
 588: max:0.714, min:0.500, mean:0.634
 589: max:0.714, min:0.500, mean:0.629
 590: max:0.714, min:0.536, mean:0.634
 591: max:0.714, min:0.536, mean:0.635
 592: max:0.714, min:0.536, mean:0.634
 593: max:0.714, min:0.536, mean:0.630
 594: max:0.714, min:0.536, mean:0.629
 595: max:0.714, min:0.500, mean:0.633
 596: max:0.714, min:0.536, mean:0.637
 597: max:0.714, min:0.536, mean:0.644
 598: max:0.714, min:0.500, mean:0.641
 599: max:0.714, min:0.500, mean:0.641
 600: max:0.714, min:0.571, mean:0.642
 601: max:0.714, min:0.536, mean:0.639
 602: max:0.714, min:0.500, mean:0.641
 603: max:0.679, min:0.536, mean:0.640
 604: max:0.679, min:0.536, mean:0.643
 605: max:0.679, min:0.536, mean:0.634
 606: max:0.679, min:0.536, mean:0.629
 607: max:0.679, min:0.500, mean:0.625
 608: max:0.679, min:0.536, mean:0.626
 609: max:0.679, min:0.500, mean:0.632
 610: max:0.679, min:0.536, mean:0.630
 611: max:0.679, min:0.536, mean:0.616
 612: max:0.679, min:0.500, mean:0.616
 613: max:0.679, min:0.500, mean:0.612
 614: max:0.643, min:0.500, mean:0.611
 615: max:0.643, min:0.500, mean:0.604
 616: max:0.643, min:0.464, mean:0.603
 617: max:0.643, min:0.464, mean:0.603
 618: max:0.643, min:0.429, mean:0.597
 619: max:0.643, min:0.500, mean:0.592
 620: max:0.679, min:0.464, mean:0.595
 621: max:0.679, min:0.500, mean:0.598
 622: max:0.679, min:0.464, mean:0.600
 623: max:0.679, min:0.464, mean:0.600
 624: max:0.679, min:0.500, mean:0.603
