 507: max:0.714, min:0.464, mean:0.610
 508: max:0.714, min:0.464, mean:0.610
 509: max:0.714, min:0.464, mean:0.608
 510: max:0.714, min:0.500, mean:0.617
 511: max:0.679, min:0.500, mean:0.615
 512: max:0.679, min:0.500, mean:0.619
 513: max:0.714, min:0.500, mean:0.623
 514: max:0.714, min:0.536, mean:0.619
 515: max:0.714, min:0.536, mean:0.624
 516: max:0.714, min:0.536, mean:0.626
 517: max:0.714, min:0.536, mean:0.628
 518: max:0.679, min:0.500, mean:0.625
 519: max:0.679, min:0.500, mean:0.625
 520: max:0.679, min:0.536, mean:0.625
 521: max:0.679, min:0.536, mean:0.620
 522: max:0.679, min:0.536, mean:0.615
 523: max:0.679, min:0.536, mean:0.606
 524: max:0.679, min:0.500, mean:0.600
 525: max:0.679, min:0.464, mean:0.600
 526: max:0.679, min:0.500, mean:0.608
 527: max:0.679, min:0.464, mean:0.603
 528: max:0.679, min:0.500, mean:0.606
 529: max:0.679, min:0.464, mean:0.606
 530: max:0.679, min:0.464, mean:0.605
 531: max:0.679, min:0.536, mean:0.609
 532: max:0.679, min:0.464, mean:0.611
 533: max:0.679, min:0.500, mean:0.613
 534: max:0.679, min:0.429, mean:0.618
 535: max:0.679, min:0.500, mean:0.616
 536: max:0.679, min:0.464, mean:0.611
 537: max:0.679, min:0.429, mean:0.621
 538: max:0.679, min:0.500, mean:0.619
 539: max:0.679, min:0.500, mean:0.621
 540: max:0.679, min:0.464, mean:0.616
 541: max:0.679, min:0.464, mean:0.614
 542: max:0.679, min:0.500, mean:0.619
 543: max:0.679, min:0.536, mean:0.621
 544: max:0.679, min:0.536, mean:0.623
 545: max:0.679, min:0.536, mean:0.621
 546: max:0.679, min:0.500, mean:0.623
 547: max:0.679, min:0.500, mean:0.617
 548: max:0.679, min:0.500, mean:0.620
 549: max:0.679, min:0.500, mean:0.626
 550: max:0.679, min:0.500, mean:0.623
 551: max:0.679, min:0.500, mean:0.624
 552: max:0.679, min:0.536, mean:0.626
 553: max:0.714, min:0.500, mean:0.623
 554: max:0.714, min:0.464, mean:0.612
 555: max:0.679, min:0.500, mean:0.609
 556: max:0.679, min:0.464, mean:0.603
 557: max:0.679, min:0.464, mean:0.603
 558: max:0.679, min:0.500, mean:0.610
 559: max:0.714, min:0.536, mean:0.616
 560: max:0.679, min:0.536, mean:0.619
 561: max:0.679, min:0.536, mean:0.615
 562: max:0.679, min:0.536, mean:0.606
 563: max:0.714, min:0.500, mean:0.604
 564: max:0.714, min:0.500, mean:0.605
 565: max:0.714, min:0.464, mean:0.604
 566: max:0.714, min:0.536, mean:0.610
 567: max:0.714, min:0.464, mean:0.611
 568: max:0.714, min:0.464, mean:0.607
 569: max:0.714, min:0.500, mean:0.613
 570: max:0.714, min:0.500, mean:0.618
 571: max:0.714, min:0.536, mean:0.621
 572: max:0.714, min:0.536, mean:0.621
 573: max:0.714, min:0.500, mean:0.623
 574: max:0.714, min:0.500, mean:0.627
 575: max:0.714, min:0.536, mean:0.628
 576: max:0.714, min:0.500, mean:0.623
 577: max:0.714, min:0.536, mean:0.628
 578: max:0.714, min:0.500, mean:0.627
 579: max:0.714, min:0.536, mean:0.625
 580: max:0.714, min:0.500, mean:0.632
 581: max:0.714, min:0.536, mean:0.628
 582: max:0.714, min:0.500, mean:0.636
 583: max:0.714, min:0.500, mean:0.638
 584: max:0.714, min:0.500, mean:0.648
 585: max:0.714, min:0.536, mean:0.652
 586: max:0.714, min:0.571, mean:0.649
 587: max:0.714, min:0.536, mean:0.641
 588: max:0.714, min:0.536, mean:0.642
 589: max:0.714, min:0.536, mean:0.640
 590: max:0.714, min:0.536, mean:0.641
 591: max:0.750, min:0.536, mean:0.647
 592: max:0.714, min:0.536, mean:0.643
 593: max:0.750, min:0.464, mean:0.637
 594: max:0.750, min:0.536, mean:0.637
 595: max:0.750, min:0.536, mean:0.633
 596: max:0.750, min:0.536, mean:0.631
 597: max:0.750, min:0.464, mean:0.636
 598: max:0.714, min:0.500, mean:0.639
 599: max:0.714, min:0.500, mean:0.638
 600: max:0.714, min:0.536, mean:0.641
 601: max:0.714, min:0.536, mean:0.640
 602: max:0.714, min:0.536, mean:0.643
 603: max:0.714, min:0.571, mean:0.640
 604: max:0.714, min:0.536, mean:0.636
 605: max:0.750, min:0.536, mean:0.635
 606: max:0.750, min:0.536, mean:0.634
 607: max:0.750, min:0.536, mean:0.644
 608: max:0.714, min:0.500, mean:0.650
 609: max:0.714, min:0.536, mean:0.647
 610: max:0.714, min:0.536, mean:0.656
 611: max:0.714, min:0.500, mean:0.663
 612: max:0.750, min:0.571, mean:0.666
 613: max:0.750, min:0.536, mean:0.658
 614: max:0.750, min:0.571, mean:0.658
 615: max:0.750, min:0.536, mean:0.664
 616: max:0.750, min:0.536, mean:0.664
 617: max:0.750, min:0.536, mean:0.663
 618: max:0.714, min:0.536, mean:0.657
 619: max:0.714, min:0.571, mean:0.654
 620: max:0.714, min:0.500, mean:0.653
 621: max:0.714, min:0.500, mean:0.654
 622: max:0.714, min:0.464, mean:0.650
 623: max:0.714, min:0.536, mean:0.638
 624: max:0.714, min:0.500, mean:0.636
 625: max:0.714, min:0.500, mean:0.638
 626: max:0.714, min:0.536, mean:0.637
 627: max:0.750, min:0.536, mean:0.639
 628: max:0.750, min:0.500, mean:0.639
 629: max:0.714, min:0.500, mean:0.638
 630: max:0.714, min:0.536, mean:0.633
 631: max:0.714, min:0.536, mean:0.628
 632: max:0.679, min:0.500, mean:0.632
 633: max:0.714, min:0.536, mean:0.639
 634: max:0.714, min:0.500, mean:0.638
 635: max:0.714, min:0.500, mean:0.636
 636: max:0.714, min:0.536, mean:0.639
